medal_type,name,gender,country,event
Bronze Medal,Kaylee McKEOWN,W,Australia,Women's 200m Individual Medley
Gold Medal,Katie LEDECKY,W,United States,Women's 800m Freestyle
Silver Medal,Ariarne TITMUS,W,Australia,Women's 800m Freestyle
Bronze Medal,Paige MADDEN,W,United States,Women's 800m Freestyle
Gold Medal,CHEN Meng,W,China,Women's Singles
Silver Medal,SUN Yingsha,W,China,Women's Singles
Bronze Medal,Hina HAYATA,W,Japan,Women's Singles
Gold Medal,EBDEN/PEERS,M,Australia,Men's Doubles
Silver Medal,KRAJICEK/RAM,M,United States,Men's Doubles
Bronze Medal,FRITZ/PAUL,M,United States,Men's Doubles
Bronze Medal,Lorenzo MUSETTI,M,Italy,Men's Singles
Gold Medal,ZHENG Qinwen,W,China,Women's Singles
Silver Medal,Donna VEKIC,W,Croatia,Women's Singles
Gold Medal,KIM Woojin,M,Korea,Men's Individual
Silver Medal,Brady ELLISON,M,United States,Men's Individual
Bronze Medal,LEE Wooseok,M,Korea,Men's Individual
Gold Medal,LIU Yang,M,China,Men's Rings
Silver Medal,ZOU Jingyuan,M,China,Men's Rings
Bronze Medal,Eleftherios PETROUNIAS,M,Greece,Men's Rings
Gold Medal,Carlos Edriel YULO,M,Philippines,Men's Vault
Silver Medal,Artur DAVTYAN,M,Armenia,Men's Vault
Bronze Medal,Harry HEPWORTH,M,Great Britain,Men's Vault
Gold Medal,Kaylia NEMOUR,W,Algeria,Women's Uneven Bars
Silver Medal,QIU Qiyuan,W,China,Women's Uneven Bars
Bronze Medal,Sunisa LEE,W,United States,Women's Uneven Bars
Gold Medal,Noah LYLES,M,United States,Men's 100m
Silver Medal,Kishane THOMPSON,M,Jamaica,Men's 100m
Bronze Medal,Fred KERLEY,M,United States,Men's 100m
Gold Medal,Ethan KATZBERG,M,Canada,Men's Hammer Throw
Silver Medal,Bence HALASZ,M,Hungary,Men's Hammer Throw
Bronze Medal,Mykhaylo KOKHAN,M,Ukraine,Men's Hammer Throw
Gold Medal,Yaroslava MAHUCHIKH,W,Ukraine,Women's High Jump
Silver Medal,Nicola OLYSLAGERS,W,Australia,Women's High Jump
Bronze Medal,Iryna GERASHCHENKO,W,Ukraine,Women's High Jump
Bronze Medal,Eleanor PATTERSON,W,Australia,Women's High Jump
Gold Medal,LEE/WANG,M,Chinese Taipei,Men's Doubles
Silver Medal,LIANG/WANG,M,China,Men's Doubles
Bronze Medal,CHIA/SOH,M,Malaysia,Men's Doubles
Bronze Medal,Gregoria Mariska TUNJUNG,W,Indonesia,Women's Singles
Bronze Medal,Yunior ALCANTARA REYES,M,Dominican Republic,Men's 51kg
Bronze Medal,David de PINA,M,Cabo Verde,Men's 51kg
Bronze Medal,Wyatt SANFORD,M,Canada,Men's 63.5kg
Bronze Medal,Lasha GURULI,M,Georgia,Men's 63.5kg
Bronze Medal,Cristian Javier PINALES,M,Dominican Republic,Men's 80kg
Bronze Medal,Arlen LOPEZ CARDONA,M,Cuba,Men's 80kg
Bronze Medal,Enmanuel REYES PLA,M,Spain,Men's 92kg
Bronze Medal,Davlat BOLTAEV,M,Tajikistan,Men's 92kg
Bronze Medal,PANG Cholmi,W,DPR Korea,Women's 54kg
Bronze Medal,IM Aeji,W,Korea,Women's 54kg
Gold Medal,Kristen FAULKNER,W,United States,Women's Road Race
Silver Medal,Marianne VOS,W,Netherlands,Women's Road Race
Bronze Medal,Lotte KOPECKY,W,Belgium,Women's Road Race
Gold Medal,Jessica von BREDOW-WERNDL,O,Germany,Dressage Individual
Silver Medal,Isabell WERTH,O,Germany,Dressage Individual
Bronze Medal,Charlotte FRY,O,Great Britain,Dressage Individual
Gold Medal,Japan,M,Japan,Men's Foil Team
Silver Medal,Italy,M,Italy,Men's Foil Team
Bronze Medal,France,M,France,Men's Foil Team
Gold Medal,Scottie SCHEFFLER,M,United States,Men's Individual Stroke Play
Silver Medal,Tommy FLEETWOOD,M,Great Britain,Men's Individual Stroke Play
Bronze Medal,MATSUYAMA Hideki,M,Japan,Men's Individual Stroke Play
Gold Medal,Francisca CROVETTO CHADID,W,Chile,Skeet Women
Silver Medal,Amber Jo RUTTER,W,Great Britain,Skeet Women
Bronze Medal,Austen Jewell SMITH,W,United States,Skeet Women
Gold Medal,Bobby FINKE,M,United States,Men's 1500m Freestyle
Silver Medal,Gregorio PALTRINIERI,M,Italy,Men's 1500m Freestyle
Bronze Medal,Daniel WIFFEN,M,Ireland,Men's 1500m Freestyle
Gold Medal,China,M,China,Men's 4 x 100m Medley Relay
Silver Medal,United States,M,United States,Men's 4 x 100m Medley Relay
Bronze Medal,France,M,France,Men's 4 x 100m Medley Relay
Gold Medal,United States,W,United States,Women's 4 x 100m Medley Relay
Silver Medal,Australia,W,Australia,Women's 4 x 100m Medley Relay
Bronze Medal,China,W,China,Women's 4 x 100m Medley Relay
Gold Medal,Sarah SJOESTROEM,W,Sweden,Women's 50m Freestyle
Silver Medal,Meg HARRIS,W,Australia,Women's 50m Freestyle
Bronze Medal,ZHANG Yufei,W,China,Women's 50m Freestyle
Gold Medal,FAN Zhendong,M,China,Men's Singles
Silver Medal,Truls MOREGARD,M,Sweden,Men's Singles
Bronze Medal,Felix LEBRUN,M,France,Men's Singles
Gold Medal,Novak DJOKOVIC,M,Serbia,Men's Singles
Silver Medal,Carlos ALCARAZ,M,Spain,Men's Singles
Gold Medal,ERRANI/PAOLINI,W,Italy,Women's Doubles
Silver Medal,ANDREEVA/SHNAIDER,W,AIN,Women's Doubles
Bronze Medal,BUCSA/SORRIBES TORMO,W,Spain,Women's Doubles
Gold Medal,Netherlands,M,Netherlands,Men
Silver Medal,France,M,France,Men
Bronze Medal,Lithuania,M,Lithuania,Men
Gold Medal,Germany,W,Germany,Women
Silver Medal,Spain,W,Spain,Women
Bronze Medal,United States,W,United States,Women
Gold Medal,OKA Shinnosuke,M,Japan,Men's Horizontal Bar
Silver Medal,Angel BARAJAS,M,Colombia,Men's Horizontal Bar
Bronze Medal,ZHANG Boheng,M,China,Men's Horizontal Bar
Bronze Medal,TANG Chia-Hung,M,Chinese Taipei,Men's Horizontal Bar
Gold Medal,ZOU Jingyuan,M,China,Men's Parallel Bars
Silver Medal,Illia KOVTUN,M,Ukraine,Men's Parallel Bars
Bronze Medal,OKA Shinnosuke,M,Japan,Men's Parallel Bars
Gold Medal,Alice D'AMATO,W,Italy,Women's Balance Beam
Silver Medal,ZHOU Yaqin,W,China,Women's Balance Beam
Bronze Medal,Manila ESPOSITO,W,Italy,Women's Balance Beam
Gold Medal,Rebeca ANDRADE,W,Brazil,Women's Floor Exercise
Silver Medal,Simone BILES,W,United States,Women's Floor Exercise
Bronze Medal,Ana BARBOSU,W,Romania,Women's Floor Exercise
Gold Medal,Armand DUPLANTIS,M,Sweden,Men's Pole Vault
Silver Medal,Sam KENDRICKS,M,United States,Men's Pole Vault
Bronze Medal,Emmanouil KARALIS,M,Greece,Men's Pole Vault
Gold Medal,Beatrice CHEBET,W,Kenya,Women's 5000m
Silver Medal,Faith KIPYEGON,W,Kenya,Women's 5000m
Bronze Medal,Sifan HASSAN,W,Netherlands,Women's 5000m
Gold Medal,Keely HODGKINSON,W,Great Britain,Women's 800m
Silver Medal,Tsige DUGUMA,W,Ethiopia,Women's 800m
Bronze Medal,Mary MORAA,W,Kenya,Women's 800m
Gold Medal,Valarie ALLMAN,W,United States,Women's Discus Throw
Silver Medal,FENG Bin,W,China,Women's Discus Throw
Bronze Medal,Sandra ELKASEVIC,W,Croatia,Women's Discus Throw
Gold Medal,Viktor AXELSEN,M,Denmark,Men's Singles
Silver Medal,Kunlavut VITIDSARN,M,Thailand,Men's Singles
Bronze Medal,Zii Jia LEE,M,Malaysia,Men's Singles
Gold Medal,AN Se Young,W,Korea,Women's Singles
Silver Medal,HE Bing Jiao,W,China,Women's Singles
Gold Medal,Finn BUTCHER,M,New Zealand,Men's Kayak Cross
Silver Medal,Joseph CLARKE,M,Great Britain,Men's Kayak Cross
Bronze Medal,Noah HEGGE,M,Germany,Men's Kayak Cross
Gold Medal,Noemie FOX,W,Australia,Women's Kayak Cross
Silver Medal,Angele HUG,W,France,Women's Kayak Cross
Bronze Medal,Kimberley WOODS,W,Great Britain,Women's Kayak Cross
Gold Medal,Great Britain,W,Great Britain,Women's Team Sprint
Silver Medal,New Zealand,W,New Zealand,Women's Team Sprint
Bronze Medal,Germany,W,Germany,Women's Team Sprint
Gold Medal,LI Yuehong,M,China,25m Rapid Fire Pistol Men
Silver Medal,CHO Yeongjae,M,Korea,25m Rapid Fire Pistol Men
Bronze Medal,WANG Xinjie,M,China,25m Rapid Fire Pistol Men
Gold Medal,Italy 1,X,Italy,Skeet Mixed Team
Silver Medal,United States 1,X,United States,Skeet Mixed Team
Bronze Medal,China,X,China,Skeet Mixed Team
Gold Medal,Kauli VAAST,M,France,Men
Silver Medal,Jack ROBINSON,M,Australia,Men
Bronze Medal,Gabriel MEDINA,M,Brazil,Men
Gold Medal,Caroline MARKS,W,United States,Women
Silver Medal,Tatiana WESTON-WEBB,W,Brazil,Women
Bronze Medal,Johanne DEFAY,W,France,Women
Gold Medal,Germany,X,Germany,Mixed Relay
Silver Medal,United States,X,United States,Mixed Relay
Bronze Medal,Great Britain,X,Great Britain,Mixed Relay
Gold Medal,Cole HOCKER,M,United States,Men's 1500m
Silver Medal,Josh KERR,M,Great Britain,Men's 1500m
Bronze Medal,Yared NUGUSE,M,United States,Men's 1500m
Gold Medal,Miltiadis TENTOGLOU,M,Greece,Men's Long Jump
Silver Medal,Wayne PINNOCK,M,Jamaica,Men's Long Jump
Bronze Medal,Mattia FURLANI,M,Italy,Men's Long Jump
Gold Medal,Gabrielle THOMAS,W,United States,Women's 200m
Silver Medal,Julien ALFRED,W,Saint Lucia,Women's 200m
Bronze Medal,Brittany BROWN,W,United States,Women's 200m
Gold Medal,Winfred YAVI,W,Bahrain,Women's 3000m Steeplechase
Silver Medal,Peruth CHEMUTAI,W,Uganda,Women's 3000m Steeplechase
Bronze Medal,Faith CHEROTICH,W,Kenya,Women's 3000m Steeplechase
Gold Medal,Camryn ROGERS,W,Canada,Women's Hammer Throw
Silver Medal,Annette Nneka ECHIKUNWOKE,W,United States,Women's Hammer Throw
Bronze Medal,ZHAO Jie,W,China,Women's Hammer Throw
Bronze Medal,Omari JONES,M,United States,Men's 71kg
Bronze Medal,Lewis RICHARDSON,M,Great Britain,Men's 71kg
Bronze Medal,Nazym KYZAIBAY,W,Kazakhstan,Women's 50kg
Bronze Medal,Aira VILLEGAS,W,Philippines,Women's 50kg
Gold Medal,Kellie HARRINGTON,W,Ireland,Women's 60kg
Silver Medal,YANG Wenlu,W,China,Women's 60kg
Bronze Medal,Janjaem SUWANNAPHENG,W,Thailand,Women's 66kg
Bronze Medal,CHEN Nien Chin,W,Chinese Taipei,Women's 66kg
Gold Medal,Netherlands,M,Netherlands,Men's Team Sprint
Silver Medal,Great Britain,M,Great Britain,Men's Team Sprint
Bronze Medal,Australia,M,Australia,Men's Team Sprint
Gold Medal,QUAN Hongchan,W,China,Women's 10m Platform
Silver Medal,CHEN Yuxi,W,China,Women's 10m Platform
Bronze Medal,KIM Mi Rae,W,DPR Korea,Women's 10m Platform
Gold Medal,Christian KUKUK,O,Germany,Jumping Individual
Silver Medal,Steve GUERDAT,O,Switzerland,Jumping Individual
Bronze Medal,Maikel van der VLEUTEN,O,Netherlands,Jumping Individual
Gold Medal,Arisa TREW,W,Australia,Women's Park
Silver Medal,HIRAKI Cocona,W,Japan,Women's Park
Bronze Medal,Sky BROWN,W,Great Britain,Women's Park
Gold Medal,Mijain LOPEZ NUNEZ,M,Cuba,Men's Greco-Roman 130kg
Silver Medal,Yasmani ACOSTA FERNANDEZ,M,Chile,Men's Greco-Roman 130kg
Bronze Medal,Amin MIRZAZADEH,M,IR Iran,Men's Greco-Roman 130kg
Bronze Medal,MENG Lingzhe,M,China,Men's Greco-Roman 130kg
Gold Medal,FUMITA Kenichiro,M,Japan,Men's Greco-Roman 60kg
Silver Medal,CAO Liguo,M,China,Men's Greco-Roman 60kg
Bronze Medal,Zholaman SHARSHENBEKOV,M,Kyrgyzstan,Men's Greco-Roman 60kg
Bronze Medal,RI Se Ung,M,DPR Korea,Men's Greco-Roman 60kg
Gold Medal,Amit ELOR,W,United States,Women's Freestyle 68kg
Silver Medal,Meerim ZHUMANAZAROVA,W,Kyrgyzstan,Women's Freestyle 68kg
Bronze Medal,Buse CAVUSOGLU TOSUN,W,Türkiye,Women's Freestyle 68kg
Bronze Medal,OZAKI Nonoka,W,Japan,Women's Freestyle 68kg
Gold Medal,China,O,China,Team
Silver Medal,United States,O,United States,Team
Bronze Medal,Spain,O,Spain,Team
Gold Medal,MARTIN A/PEREZ M,X,Spain,Marathon Race Walk Relay Mixed
Silver Medal,PINTADO B/MOREJON G,X,Ecuador,Marathon Race Walk Relay Mixed
Bronze Medal,COWLEY R/MONTAG J,X,Australia,Marathon Race Walk Relay Mixed
Gold Medal,Soufiane EL BAKKALI,M,Morocco,Men's 3000m Steeplechase
Silver Medal,Kenneth ROOKS,M,United States,Men's 3000m Steeplechase
Bronze Medal,Abraham KIBIWOT,M,Kenya,Men's 3000m Steeplechase
Gold Medal,Quincy HALL,M,United States,Men's 400m
Silver Medal,Matthew HUDSON-SMITH,M,Great Britain,Men's 400m
Bronze Medal,Muzala SAMUKONGA,M,Zambia,Men's 400m
Gold Medal,Roje STONA,M,Jamaica,Men's Discus Throw
Silver Medal,Mykolas ALEKNA,M,Lithuania,Men's Discus Throw
Bronze Medal,Matthew DENNY,M,Australia,Men's Discus Throw
Gold Medal,Nina KENNEDY,W,Australia,Women's Pole Vault
Silver Medal,Katie MOON,W,United States,Women's Pole Vault
Bronze Medal,Alysha NEWMAN,W,Canada,Women's Pole Vault
Bronze Medal,Nelvie Raman TIAFACK,M,Germany,Men's +92kg
Bronze Medal,Djamili-Dini ABOUDOU MOINDZE,M,France,Men's +92kg
Gold Medal,Erislandy ALVAREZ BORGES,M,Cuba,Men's 63.5kg
Silver Medal,Sofiane OUMIHA,M,France,Men's 63.5kg
Gold Medal,Oleksandr KHYZHNIAK,M,Ukraine,Men's 80kg
Silver Medal,Nurbek ORALBAY,M,Kazakhstan,Men's 80kg
Bronze Medal,Esra YILDIZ KAHRAMAN,W,Türkiye,Women's 57kg
Bronze Medal,Nesthy PETECIO,W,Philippines,Women's 57kg
Gold Medal,Australia,M,Australia,Men's Team Pursuit
Silver Medal,Great Britain,M,Great Britain,Men's Team Pursuit
Bronze Medal,Italy,M,Italy,Men's Team Pursuit
Gold Medal,United States,W,United States,Women's Team Pursuit
Silver Medal,New Zealand,W,New Zealand,Women's Team Pursuit
Bronze Medal,Great Britain,W,Great Britain,Women's Team Pursuit
Gold Medal,Matt WEARN,M,Australia,Men's Dinghy
Silver Medal,Pavlos KONTIDES,M,Cyprus,Men's Dinghy
Bronze Medal,Stefano PESCHIERA,M,Peru,Men's Dinghy
Gold Medal,Marit BOUWMEESTER,W,Netherlands,Women's Dinghy
Silver Medal,Anne-Marie RINDOM,W,Denmark,Women's Dinghy
Bronze Medal,Line Flem HOEST,W,Norway,Women's Dinghy
Gold Medal,Keegan PALMER,M,Australia,Men's Park
Silver Medal,Tom SCHAAR,M,United States,Men's Park
Bronze Medal,Augusto AKIO,M,Brazil,Men's Park
Gold Medal,Aleksandra MIROSLAW,W,Poland,Women's Speed
Silver Medal,DENG Lijuan,W,China,Women's Speed
Bronze Medal,Aleksandra KALUCKA,W,Poland,Women's Speed
Gold Medal,PARK Taejoon,M,Korea,Men -58kg
Silver Medal,Gashim MAGOMEDOV,M,Azerbaijan,Men -58kg
Bronze Medal,Cyrian RAVET,M,France,Men -58kg
Bronze Medal,Mohamed Khalil JENDOUBI,M,Tunisia,Men -58kg
Gold Medal,Panipak WONGPATTANAKIT,W,Thailand,Women -49kg
Silver Medal,GUO Qing,W,China,Women -49kg
Bronze Medal,Mobina NEMATZADEH,W,IR Iran,Women -49kg
Bronze Medal,Lena STOJKOVIC,W,Croatia,Women -49kg
Gold Medal,LI Fabin,M,China,Men's 61kg
Silver Medal,Theerapong SILACHAI,M,Thailand,Men's 61kg
Bronze Medal,Hampton MORRIS,M,United States,Men's 61kg
Gold Medal,HOU Zhihui,W,China,Women's 49kg
Silver Medal,Mihaela Valentina CAMBEI,W,Romania,Women's 49kg
Bronze Medal,Surodchana KHAMBAO,W,Thailand,Women's 49kg
Gold Medal,KUSAKA Nao,M,Japan,Men's Greco-Roman 77kg
Silver Medal,Demeu ZHADRAYEV,M,Kazakhstan,Men's Greco-Roman 77kg
Bronze Medal,Malkhas AMOYAN,M,Armenia,Men's Greco-Roman 77kg
Bronze Medal,Akzhol MAKHMUDOV,M,Kyrgyzstan,Men's Greco-Roman 77kg
Gold Medal,Mohammadhadi SARAVI,M,IR Iran,Men's Greco-Roman 97kg
Silver Medal,Artur ALEKSANYAN,M,Armenia,Men's Greco-Roman 97kg
Bronze Medal,Gabriel Alejandro ROSILLO KINDELAN,M,Cuba,Men's Greco-Roman 97kg
Bronze Medal,Uzur DZHUZUPBEKOV,M,Kyrgyzstan,Men's Greco-Roman 97kg
Gold Medal,Sarah Ann HILDEBRANDT,W,United States,Women's Freestyle 50kg
Silver Medal,Yusneylis GUZMAN LOPEZ,W,Cuba,Women's Freestyle 50kg
Bronze Medal,SUSAKI Yui,W,Japan,Women's Freestyle 50kg
Bronze Medal,FENG Ziqi,W,China,Women's Freestyle 50kg
Gold Medal,Grant HOLLOWAY,M,United States,Men's 110m Hurdles
Silver Medal,Daniel ROBERTS,M,United States,Men's 110m Hurdles
Bronze Medal,Rasheed BROADBELL,M,Jamaica,Men's 110m Hurdles
Gold Medal,Letsile TEBOGO,M,Botswana,Men's 200m
Silver Medal,Kenneth BEDNAREK,M,United States,Men's 200m
Bronze Medal,Noah LYLES,M,United States,Men's 200m
Gold Medal,Arshad NADEEM,M,Pakistan,Men's Javelin Throw
Silver Medal,Neeraj CHOPRA,M,India,Men's Javelin Throw
Bronze Medal,Anderson PETERS,M,Grenada,Men's Javelin Throw
Gold Medal,Sydney McLAUGHLIN-LEVRONE,W,United States,Women's 400m Hurdles
Silver Medal,Anna COCKRELL,W,United States,Women's 400m Hurdles
Bronze Medal,Femke BOL,W,Netherlands,Women's 400m Hurdles
Gold Medal,Tara DAVIS-WOODHALL,W,United States,Women's Long Jump
Silver Medal,Malaika MIHAMBO,W,Germany,Women's Long Jump
Bronze Medal,Jasmine MOORE,W,United States,Women's Long Jump
Gold Medal,Hasanboy DUSMATOV,M,Uzbekistan,Men's 51kg
Silver Medal,Billal BENNAMA,M,France,Men's 51kg
Bronze Medal,Charlie SENIOR,M,Australia,Men's 57kg
Bronze Medal,Javier IBANEZ DIAZ,M,Bulgaria,Men's 57kg
Gold Medal,CHANG Yuan,W,China,Women's 54kg
Silver Medal,Hatice AKBAS,W,Türkiye,Women's 54kg
Bronze Medal,Caitlin PARKER,W,Australia,Women's 75kg
Bronze Medal,Cindy Winner DJANKEU NGAMBA,W,EOR,Women's 75kg
Gold Medal,LIU/JI,M,China,Men's Canoe Double 500m
Silver Medal,CASADEI/TACCHINI,M,Italy,Men's Canoe Double 500m
Bronze Medal,MORENO/DOMINGUEZ,M,Spain,Men's Canoe Double 500m
Gold Medal,Germany,M,Germany,Men's Kayak Four 500m
Silver Medal,Australia,M,Australia,Men's Kayak Four 500m
Bronze Medal,Spain,M,Spain,Men's Kayak Four 500m
Gold Medal,New Zealand,W,New Zealand,Women's Kayak Four 500m
Silver Medal,Germany,W,Germany,Women's Kayak Four 500m
Bronze Medal,Hungary,W,Hungary,Women's Kayak Four 500m
Gold Medal,Benjamin THOMAS,M,France,Men's Omnium
Silver Medal,Iuri LEITAO,M,Portugal,Men's Omnium
Bronze Medal,Fabio van den BOSSCHE,M,Belgium,Men's Omnium
Gold Medal,Ellesse ANDREWS,W,New Zealand,Women's Keirin
Silver Medal,Hetty van de WOUW,W,Netherlands,Women's Keirin
Bronze Medal,Emma FINUCANE,W,Great Britain,Women's Keirin
Gold Medal,XIE Siyi,M,China,Men's 3m Springboard
Silver Medal,WANG Zongyuan,M,China,Men's 3m Springboard
Bronze Medal,Osmar OLVERA IBARRA,M,Mexico,Men's 3m Springboard
Bronze Medal,Morocco,M,Morocco,Men
Gold Medal,Netherlands,M,Netherlands,Men
Silver Medal,Germany,M,Germany,Men
Bronze Medal,India,M,India,Men
Gold Medal,Sharon van ROUWENDAAL,W,Netherlands,Women's 10km
Silver Medal,Moesha JOHNSON,W,Australia,Women's 10km
Bronze Medal,Ginevra TADDEUCCI,W,Italy,Women's 10km
Gold Medal,VADLAU/MAEHR,X,Austria,Mixed Dinghy
Silver Medal,OKADA/YOSHIOKA,X,Japan,Mixed Dinghy
Bronze Medal,DAHLBERG/KARLSSON,X,Sweden,Mixed Dinghy
Gold Medal,TITA/BANTI,X,Italy,Mixed Multihull
Silver Medal,MAJDALANI/BOSCO,X,Argentina,Mixed Multihull
Bronze Medal,WILKINSON/DAWSON,X,New Zealand,Mixed Multihull
Gold Medal,Eleanor ALDRIDGE,W,Great Britain,Women's Kite
Silver Medal,Lauriane NOLOT,W,France,Women's Kite
Bronze Medal,Annelous LAMMERTS,W,Netherlands,Women's Kite
Gold Medal,Veddriq LEONARDO,M,Indonesia,Men's Speed
Silver Medal,WU Peng,M,China,Men's Speed
Bronze Medal,Sam WATSON,M,United States,Men's Speed
Gold Medal,Ulugbek RASHITOV,M,Uzbekistan,Men -68kg
Silver Medal,Zaid KAREEM,M,Jordan,Men -68kg
Bronze Medal,LIANG Yushuai,M,China,Men -68kg
Bronze Medal,Edival PONTES,M,Brazil,Men -68kg
Gold Medal,KIM Yujin,W,Korea,Women -57kg
Silver Medal,Nahid KIYANICHANDEH,W,IR Iran,Women -57kg
Bronze Medal,Skylar PARK,W,Canada,Women -57kg
Bronze Medal,Alizadeh KIMIA,W,Bulgaria,Women -57kg
Gold Medal,Rizki JUNIANSYAH,M,Indonesia,Men's 73kg
Silver Medal,Weeraphon WICHUMA,M,Thailand,Men's 73kg
Bronze Medal,Bozhidar Dimitrov ANDREEV,M,Bulgaria,Men's 73kg
Gold Medal,LUO Shifang,W,China,Women's 59kg
Silver Medal,Maude CHARRON,W,Canada,Women's 59kg
Bronze Medal,KUO Hsing-Chun,W,Chinese Taipei,Women's 59kg
Gold Medal,Saeid ESMAEILI LEIVESI,M,IR Iran,Men's Greco-Roman 67kg
Silver Medal,Parviz NASIBOV,M,Ukraine,Men's Greco-Roman 67kg
Bronze Medal,Hasrat JAFAROV,M,Azerbaijan,Men's Greco-Roman 67kg
Bronze Medal,Luis Alberto ORTA SANCHEZ,M,Cuba,Men's Greco-Roman 67kg
Gold Medal,Semen Sergeevich NOVIKOV,M,Bulgaria,Men's Greco-Roman 87kg
Silver Medal,Alireza MOHMADIPIANI,M,IR Iran,Men's Greco-Roman 87kg
Bronze Medal,Zhan BELENIUK,M,Ukraine,Men's Greco-Roman 87kg
Bronze Medal,Turpal Ali BISULTANOV,M,Denmark,Men's Greco-Roman 87kg
Gold Medal,FUJINAMI Akari,W,Japan,Women's Freestyle 53kg
Silver Medal,Lucia Yamileth YEPEZ GUZMAN,W,Ecuador,Women's Freestyle 53kg
Bronze Medal,CHOE Hyo Gyong,W,DPR Korea,Women's Freestyle 53kg
Bronze Medal,PANG Qianyu,W,China,Women's Freestyle 53kg
Gold Medal,Canada,M,Canada,Men's 4 x 100m Relay
Silver Medal,South Africa,M,South Africa,Men's 4 x 100m Relay
Bronze Medal,Great Britain,M,Great Britain,Men's 4 x 100m Relay
Gold Medal,Rai BENJAMIN,M,United States,Men's 400m Hurdles
Silver Medal,Karsten WARHOLM,M,Norway,Men's 400m Hurdles
Bronze Medal,Alison dos SANTOS,M,Brazil,Men's 400m Hurdles
Gold Medal,Jordan Alejandro DIAZ FORTUN,M,Spain,Men's Triple Jump
Silver Medal,Pedro PICHARDO,M,Portugal,Men's Triple Jump
Bronze Medal,Andy DIAZ HERNANDEZ,M,Italy,Men's Triple Jump
Gold Medal,Beatrice CHEBET,W,Kenya,"Women's 10,000m"
Silver Medal,Nadia BATTOCLETTI,W,Italy,"Women's 10,000m"
Bronze Medal,Sifan HASSAN,W,Netherlands,"Women's 10,000m"
Gold Medal,United States,W,United States,Women's 4 x 100m Relay
Silver Medal,Great Britain,W,Great Britain,Women's 4 x 100m Relay
Bronze Medal,Germany,W,Germany,Women's 4 x 100m Relay
Gold Medal,Marileidy PAULINO,W,Dominican Republic,Women's 400m
Silver Medal,Salwa Eid NASER,W,Bahrain,Women's 400m
Bronze Medal,Natalia KACZMAREK,W,Poland,Women's 400m
Gold Medal,Yemisi OGUNLEYE,W,Germany,Women's Shot Put
Silver Medal,Maddison-Lee WESCHE,W,New Zealand,Women's Shot Put
Bronze Medal,SONG Jiayuan,W,China,Women's Shot Put
Gold Medal,ANA PATRICIA/DUDA,W,Brazil,Women
Silver Medal,MELISSA/BRANDIE,W,Canada,Women
Bronze Medal,HUBERLI/BRUNNER,W,Switzerland,Women
Gold Medal,Asadkhuja MUYDINKHUJAEV,M,Uzbekistan,Men's 71kg
Silver Medal,Marco Alonso VERDE ALVAREZ,M,Mexico,Men's 71kg
Gold Medal,Lazizbek MULLOJONOV,M,Uzbekistan,Men's 92kg
Silver Medal,Loren Berto ALFONSO DOMINGUEZ,M,Azerbaijan,Men's 92kg
Gold Medal,WU Yu,W,China,Women's 50kg
Silver Medal,Buse Naz CAKIROGLU,W,Türkiye,Women's 50kg
Gold Medal,Imane KHELIF,W,Algeria,Women's 66kg
Silver Medal,YANG Liu,W,China,Women's 66kg
Gold Medal,AMI,W,Japan,B-Girls
Silver Medal,NICKA,W,Lithuania,B-Girls
Bronze Medal,671,W,China,B-Girls
Gold Medal,Martin FUKSA,M,Czechia,Men's Canoe Single 1000m
Silver Medal,Isaquias QUEIROZ,M,Brazil,Men's Canoe Single 1000m
Bronze Medal,Serghei TARNOVSCHI,M,Republic of Moldova,Men's Canoe Single 1000m
Gold Medal,SCHOPF/LEMKE,M,Germany,Men's Kayak Double 500m
Silver Medal,NADAS/TOTKA,M,Hungary,Men's Kayak Double 500m
Bronze Medal,van der WE/GREEN,M,Australia,Men's Kayak Double 500m
Gold Medal,XU/SUN,W,China,Women's Canoe Double 500m
Silver Medal,LUZAN/RYBACHOK,W,Ukraine,Women's Canoe Double 500m
Bronze Medal,MACKENZIE/VINCENT,W,Canada,Women's Canoe Double 500m
Gold Medal,CARRINGTON/HOSKIN,W,New Zealand,Women's Kayak Double 500m
Silver Medal,CSIPES/GAZSO,W,Hungary,Women's Kayak Double 500m
Bronze Medal,PASZEK/HAKE,W,Germany,Women's Kayak Double 500m
Bronze Medal,PUPP/FOJT,W,Hungary,Women's Kayak Double 500m
Gold Medal,Harrie LAVREYSEN,M,Netherlands,Men's Sprint
Silver Medal,Matthew RICHARDSON,M,Australia,Men's Sprint
Bronze Medal,Jack CARLIN,M,Great Britain,Men's Sprint
Gold Medal,Italy,W,Italy,Women's Madison
Silver Medal,Great Britain,W,Great Britain,Women's Madison
Bronze Medal,Netherlands,W,Netherlands,Women's Madison
Gold Medal,CHEN Yiwen,W,China,Women's 3m Springboard
Silver Medal,Maddison KEENEY,W,Australia,Women's 3m Springboard
Bronze Medal,CHANG Yani,W,China,Women's 3m Springboard
Gold Medal,Spain,M,Spain,Men
Silver Medal,France,M,France,Men
Bronze Medal,Germany,W,Germany,Women
Gold Medal,Netherlands,W,Netherlands,Women
Silver Medal,China,W,China,Women
Bronze Medal,Argentina,W,Argentina,Women
Gold Medal,Kristof RASOVSZKY,M,Hungary,Men's 10km
Silver Medal,Oliver KLEMET,M,Germany,Men's 10km
